title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries,genre1,genre2,genre3,,,
The Usual Suspects,movie,"Crime, Drama, Mystery",1995,tt0114814,8.5,1194301,,Crime, Drama, Mystery,,,
Bridget Jones's Diary,movie,"Comedy, Drama, Romance",2001,tt0243155,6.8,278954,,Comedy, Drama, Romance,,,
Life Is Beautiful,movie,"Comedy, Drama, Romance",1997,tt0118799,8.6,782034,,Comedy, Drama, Romance,,,
Boyz n the Hood,movie,"Crime, Drama",1991,tt0101507,7.8,162885,,Crime, Drama,,,,
Troy,movie,"Action, Adventure, Drama",2004,tt0332452,7.3,595619,,Action, Adventure, Drama,,,
Saw IV,movie,"Horror, Mystery, Thriller",2007,tt0890870,5.9,171870,,Horror, Mystery, Thriller,,,
Twister,movie,"Action, Adventure, Thriller",1996,tt0117998,6.6,245122,,Action, Adventure, Thriller,,,
Central Station,movie,Drama,1998,tt0140888,8,48173,,Drama,,,,,
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,683179,,Action, Drama, Mystery,,,
Harry Potter and the Sorcerer's Stone,movie,"Adventure, Family, Fantasy",2001,tt0241527,7.7,908191,,Adventure, Family, Fantasy,,,
Harry Potter and the Chamber of Secrets,movie,"Adventure, Family, Fantasy",2002,tt0295297,7.4,732697,,Adventure, Family, Fantasy,,,
Harry Potter and the Prisoner of Azkaban,movie,"Adventure, Family, Fantasy",2004,tt0304141,7.9,732552,,Adventure, Family, Fantasy,,,
Harry Potter and the Goblet of Fire,movie,"Adventure, Family, Fantasy",2005,tt0330373,7.7,720631,,Adventure, Family, Fantasy,,,
Harry Potter and the Order of the Phoenix,movie,"Action, Adventure, Family",2007,tt0373889,7.5,669399,,Action, Adventure, Family,,,
Pulp Fiction,movie,"Crime, Drama",1994,tt0110912,8.8,2345738,,Crime, Drama,,,,
Contact,movie,"Drama, Mystery, Sci-Fi",1997,tt0118884,7.5,304353,,Drama, Mystery, Sci-Fi,,,
The Piano,movie,"Drama, Music, Romance",1993,tt0107822,7.5,98702,,Drama, Music, Romance,,,
Together,movie,"Comedy, Drama, Romance",2000,tt0203166,7.4,25123,,Comedy, Drama, Romance,,,
Top Gun,movie,"Action, Drama",1986,tt0092099,7,531098,,Action, Drama,,,,
The Last Emperor,movie,"Biography, Drama, History",1987,tt0093389,7.7,116249,,Biography, Drama, History,,,
Shaun of the Dead,movie,"Comedy, Horror",2004,tt0365748,7.9,621399,,Comedy, Horror,,,,
V for Vendetta,movie,"Action, Drama, Sci-Fi",2005,tt0434409,8.1,1218300,,Action, Drama, Sci-Fi,,,
The Evil Dead,movie,Horror,1981,tt0083907,7.4,243471,,Horror,,,,,
Harry Potter and the Half-Blood Prince,movie,"Action, Adventure, Family",2009,tt0417741,7.6,630856,,Action, Adventure, Family,,,
Goodfellas,movie,"Biography, Crime, Drama",1990,tt0099685,8.7,1333197,,Biography, Crime, Drama,,,
Gandhi,movie,"Biography, Drama, History",1982,tt0083987,8,244361,,Biography, Drama, History,,,
Kolya,movie,"Comedy, Drama, Music",1996,tt0116790,7.7,16625,,Comedy, Drama, Music,,,
Mr. & Mrs. Smith,movie,"Action, Comedy, Crime",2005,tt0356910,6.5,570240,,Action, Comedy, Crime,,,
Closely Watched Trains,movie,"Comedy, Drama, Romance",1966,tt0060802,7.6,14500,,Comedy, Drama, Romance,,,
The Fog,movie,"Horror, Mystery",2005,tt0432291,3.7,40444,,Horror, Mystery,,,,
